Description,Type
"Hackers conducted an espionage campaign against Vatican City beginning in May 2020. In one instance, embedded malware was sent using the email of the Vatican Secretary of State. Hackers were likely trying to gain information on the Vatican’s negotiating position prior to high-level talks between the Catholic Church and Beijing in September 2020 regarding a provisional agreement concerning the appointment of Catholic bishops in China. ",Other
"The Chinese government–aligned APT Tonto Team used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",Espionage
The Australian government launched cyberattacks disabling infrastructure used by foreign-based cybercriminals targeting Australians during the coronavirus pandemic.,Data destruction
"Responsible for targeting governments in Asia, particularly in Taiwan but also in Hong Kong and Japan. They used Taidoor malware to steal information from Taiwanese government agencies and official email accounts.",Espionage
"The Iranian hackers APT 33 targeted the U.S. electric grid with password-spraying attacks, likely in an attempt to gain access. They targeted only the IT side of networks so far and have not proven their ability to access physical systems.",Espionage
"Hackers impersonated recruiters from Collins Aerospace and General Dynamics to lure in employees with enticing job offers, subsequently tricking them into opening malicious files sent via LinkedIn’s private messaging app.",Espionage
Chinese hackers scanned networks in search of virtual private network (VPN) and email server vulnerabilities with the aim of exfiltrating data.,Espionage
"The China-linked Bronze Butler threat actor is suspected to have used a zero-day in Trend Micro antivirus to attack Mitsubishi Electric and steal data on thousands of employees. In May 2020, it was disclosed that the breach resulted in the theft of specifications for a hypersonic missile that Japan had been developing to protect disputed territory in the East China Sea.",Espionage
The Chinese hackers Storm Cloud performed highly targeted watering-hole attacks on visitors to a few Tibetan websites and tried to make them install fake versions of Adobe Flash.,Other
"Hackers conducted a combination of financially motivated and espionage-driven hacking operations against hundreds of companies, organizations, and research firms based in the United States and other countries, stealing terabytes of information.",Espionage
"Chinese government-aligned APT that used Bisonal malware for over ten years in various campaigns against entities in Japan, Russia, and South Korea.",Other
"Cyber actors affiliated with the Chinese government attempted to identify and illicitly obtain intellectual property and public health data related to vaccines, treatments, and testing from networks and personnel associated with COVID-19–related research.",Espionage
"Hackers exploited vulnerabilities in at least four Taiwanese tech companies that provided information technology services to the government using the Taidoor malware, allowing them far-reaching access to official systems and accounts since at least 2018.",Espionage
Conducted coronavirus-related phishing campaign against targets in the Mongolian government.,Other
"Dating back to 2018, hackers conducted espionage campaigns against air transportation and government agencies in Kuwait and Saudi Arabia.",Other
Iranian hackers scanned U.S. government and private networks for virtual private network (VPN) and cloud computing vulnerabilities with the aim of exfiltrating data.,Other
"An account belonging to Prince Mohammed bin Salman sent Jeff Bezos spyware masquerading as a video over WhatsApp, which allowed Saudi Arabia to surveil Bezos’ phone from May 2018 until February 2019. The attack could have been related to Bezos’ ownership of the Washington Post, whose columnist Jamal Khashoggi was allegedly killed on bin Salman’s orders.",Espionage
"Hackers sent phishing emails masquerading as Google web services to WHO employees, attempting to gain access to internal information.",Espionage
Believed to be responsible for conducting an espionage campaign against Vatican City and its subsidiary organization in China.,Espionage
"The Russian threat actor Turla compromised four Armenian websites, two belonging to the government and two closely related, to use in a strategic web compromise/watering-hole attack.",Espionage
"A group using tools similar to Chinese government–affiliated group Vicious Panda targeted high-profile companies in Central Asia and planting backdoors to gain access to corporate networks. The group is also believed to be behind cyberattacks in Belarus, Mongolia, and Russia.",Espionage
Hackers affiliated with the Lazarus Group targeted automated teller machines (ATMs) by manipulating transaction-processing software to initiate fraudulent cash-outs.,Financial Theft
The suspected Chinese threat actor Vicious Panda conducted a coronavirus-related phishing campaign against targets in the Mongolian government.,Espionage
Hackers used supply chain vulnerabilities to access German critical infrastructure companies’ information technology (IT) systems.,Espionage
"Responsible for disguising Zebrocy malware, which creates a persistent backdoor, as North Atlantic Treaty Organization (NATO) training materials. Azerbaijan, which cooperates with NATO, is a suspected target.",Espionage
"The Turkish hackers attacked at least thirty organizations across the Middle East and Europe, including Cypriot and Greek government email services and the Iraqi government’s national security advisor. Their methods include intercepting internet traffic to victim websites.",Espionage
Vietnamese hackers sent spear-phishing messages to the Wuhan government and China’s Ministry of Emergency Management.,Espionage
Believed to be responsible for conducting a hacking and information operations campaign in Eastern Europe. Hackers compromised websites and email accounts and used them to publish fabricated documents pushing anti–North Atlantic Treaty Organization (NATO) narratives. They then donned fake personas of local officials to promote the fabricated documents on social media.,Other
Pakistani government-aligned threat actor that has used fake coronavirus health information to phish targets.,Other
"Israel retaliated against Iran for targeting of Israeli water treatment and sewage facilities by launching a cyberattack against Iran’s Shahid Rajaee Port, disrupting its operations.",Sabotage
North Korean hackers used fake job postings from leading U.S. defense contractors on LinkedIn to install malicious data-gathering software when clicked.,Espionage
"The Russian hackers Hades (aka APT 28) targeted Ukraine with coronavirus-themed phishing emails. At the same time, viral disinformation about the virus spread in Ukraine, causing riots.",Espionage
"Hackers from Sandworm exploited a zero-day vulnerability in Exim mail transfer agent software, which runs on email servers around the world, granting them the ability to remotely execute commands on the compromised servers.",Espionage
Russian hackers used compromised credentials to install malware and ultimately steal files from unnamed U.S. government agency computers.,Espionage
"The Iranian state-backed hackers sent out sophisticated spear-phishing lures imitating Westat, a research services company, in hopes of compromising U.S. government employees and networks. They could have also intended to compromise actual Westat employees.",Espionage
"Using a new exploit named Aria-body, APT 30 attempted to compromise networks belonging to governments and state-owned companies in Australia and Southeast Asia.",Espionage
"Hackers targeted websites and email accounts in Latvia, Lithuania, and Poland to publish fabricated documents pushing anti–North Atlantic Treaty Organization (NATO) narratives consistent with Kremlin talking points.",Defacement
The Pakistani government–aligned threat actor APT 36 used a fake coronavirus health advisory to phish its targets and deliver a RAT.,Espionage
"China-linked Winnti Umbrella launched a ransomware attack against Taiwan’s state oil company, CPC Corporation, causing its website to go offline for one day.",Sabotage
"North Korean hackers launched a spear-phishing campaign that disguised malware as UN security alerts and interview requests. At least twenty-eight UN officials, eleven of whom represented six members of the UN Security Council, were targeted.",Espionage
The Japanese defense contractors Pasco and Kobe Steel disclosed security breaches that happened between 2015 and 2016 and in May 2018. Kobe steel supplies submarine parts to the Japan Self-Defense Forces and Pasco provides satellite data. Nikkei suspects that Bronze Butler could have been involved.,Espionage
Hackers believed by Australian officials to be operating on behalf of China targeted Australian government agencies and companies through a known exploit in Microsoft Sharepoint.,Espionage
"The Winnti Umbrella, a Chinese government-backed threat actor, installed malware on computer systems at two universities in Hong Kong during protests. Three other universities in Hong Kong could have been simultaneously targeted.",Espionage
"Iranian hackers sought to cripple computers that control water flow and wastewater treatment for two rural districts in Israel. Israeli officials reported that the attack was quickly detected and defeated, preventing harm to water supplies.",Sabotage
"Hackers targeted various entities involved in Taiwan-related issues with spear-phishing emails containing Taidoor, a remote-access trojan (RAT) designed to maintain a presence on victim networks for use in later network exploitation.",Espionage
"The Russian threat actor APT 28 used phishing campaigns to steal credentials from organizations across the world, in government, private sector, and civil society. They also searched the internet for vulnerable webmail servers.",Espionage
"Russian hackers attempted to steal log-in credentials primarily belonging to more than two hundred political campaigns, advocacy groups, parties, and consultants.",Espionage
The North Korean hackers renewed attacks against unnamed cryptocurrency businesses to steal cryptocurrency for financial gain.,Financial Theft
Hackers sent spear-phishing emails to the accounts of officials in various Ukrainian government organizations. The emails contained attachments that downloaded malware when opened.,Espionage
The Iranian state-backed threat actor Charming Kitten impersonated prominent journalists and sent targets fake interview requests in order to steal their credentials and send them malware.,Espionage
Pirate Panda is believed to be responsible for phishing attacks targeting Vietnamese government officials located near the disputed Paracel Islands in the South China Sea.,Other
"Hackers accessed the account of former United Kingdom (UK) Trade Minister Liam Fox, between July 12 and October 21 2019, stealing six tranches of documents detailing British trade negotiations with the United States. Hackers then released the documents as part of a Russian disinformation campaign targeting the 2019 UK general election.",Espionage
"DarkHotel, an advanced actor possibly associated with the South Korean government, attempted to phish World Health Organization employees.",Espionage
The Greenbug group used off-the-shelf tools and living-off-the-land techniques to gain access to South Asian telecommunication providers’ database servers.,Espionage
Responsible for targeting email accounts belonging to former Vice President Joe Biden’s campaign staff and for attempting to discern whether accounts belonging to members of the international affairs community are active.,Espionage
The Chinese threat actor Lotus Blossom used watering holes on fake news sites to deploy iOS exploits against Hong Kong citizens.,Espionage
"APT 40, a threat actor believed to be associated with the Chinese government, allegedly targeted Malaysian government officials with highly targeted spear-phishing attacks in order to install malware and steal confidential documents from government networks.",Espionage
"The Chinese-linked threat actor Pirate Panda sent phishing emails to Vietnamese government officials located in Da Nang, Vietnam.",Espionage
"Hackers used spyware, developed by Israeli technology firm NSO Group, that exploited a vulnerability in the messaging app WhatsApp to inject spyware onto the phones of opposition politicians and prominent religious leaders in Togo. The hack coincided with pro-reform protests in the country.",Espionage
The Chinese threat actor APT 41 attempted to exploit three vulnerabilities at over seventy-five organizations across sectors and countries. This was one of the most widespread attacks by a Chinese threat actor in years.,Espionage
Hackers leveraged a backdoor to compromise Taiwanese and South Korean video game companies’ systems.,Espionage
Responsible for targeting non-campaign email accounts belonging to former Vice President Biden’s election campaign staff. Also responsible for using web bugs to determine whether accounts belonging to academics and important figures in the international affairs community are active.,Espionage
Attempted to trick employees of unnamed U.S. government agency to install malware on their computers via a spearphishing campaign.,Other
"Responsible for orchestrating and executing various operations to protect the United States and its interests, including steps to disrupt the Internet Research Agency and the Trickbot botnet.",Sabotage
The Russia-aligned threat actor Gamaredon intensified its efforts to compromise Ukrainian defense and intelligence targets. The attacks include both cyberespionage and attempted sabotage of physical assets.,Sabotage
The Vietnam-linked threat group uploaded malware-infected apps to the Google Play store to trick users into downloading them onto their phones.,Espionage
Responsible for targeting unpatched network equipment belonging to U.S. government agencies and private companies.,Espionage
"DarkHotel, a South Korea–linked threat actor, used five zero-days in a single campaign targeting North Koreans, demonstrating an unusual level of sophistication.",Espionage
"Hackers used a remote access trojan (RAT), ComRAT v4, to exfiltrate sensitive documents from Central Asian and Eastern European government computers.",Espionage
Iranian hackers attempted to log into accounts associated with the Trump administration and campaign staff.,Espionage
"Devices on a noncritical administrative network in a nuclear power plant in Tamil Nadu, India, were compromised by DTrack, a remote access Trojan (RAT) associated with the Lazarus Group.",Espionage
The DNC alleged it was targeted in an unsuccessful cyberattack eight days after the 2018 elections in an attempted spear-phishing campaign.,Espionage
"A threat actor launched a phishing operation with spoofed login pages to steal the credentials of users at over sixty universities in the United States, United Kingdom, and elsewhere.",Espionage
China’s government used its “Great Cannon” distributed denial of service (DDOS) system for the first time in two years to attack a forum where Hong Kong residents organized protests.,Denial of service
"A threat actor put malicious software on Bayer's computer system but did not steal any information, as reported by the company.",Data destruction
"A threat actor aimed to infect mobile phones belonging to senior members of Tibetan groups, including people who worked directly for the Dalai Lama and lawmakers in Tibet's parliament. The threat actor posed as a human rights worker or journalist and contacted victims through WhatsApp. The campaign involved Android browser vulnerabilities and Android and iOS spyware. The tools appeared in similar attacks, discovered in September, carried out against China's Uighur population.",Espionage
The Russian threat actor Turla took over an Iranian espionage operation belonging to Iranian-linked APT 34 (aka Oilrig) and used it to attack a number of targets while masquerading as Iran.,Espionage
"A threat actor used a Trojan horse to gain remote backdoor access to German energy technology company Siemens, chemical firm BASF, and consumer goods company Henkel. Non-German companies Roche, Lion Air, and Marriott were also targeted.",Espionage
"The China-affiliated threat actor Bronze President attacked nongovernmental organizations, political agencies, and law enforcement in Mongolia and India, among other countries.",Espionage
"Former U.S. government intelligence operatives working for the UAE used the spying tool Karma to hack the iPhones of activists, diplomats, and rival foreign leaders.

 ",Espionage
"A threat actor used the malware BabyShark, which uses infrastructure associated with North Korean campaigns. The malware was delivered in November 2018 via spear-phishing emails written to appear as though they were sent from a nuclear security expert who works as a consultant for the U.S. government. The subject of the emails referenced North Korea's nuclear program.",Espionage
A China-aligned attacker bypassed virtual private network (VPN) accounts protected by two-factor authentication to attack governments and managed service providers in a multitude of industries.,Espionage
"This threat actor hacked global telecommunications companies for personal data of government officials, activists, and dissidents of interest to Beijing.",Espionage
"This threat actor has targeted senior members of Tibetan groups by sending malicious links in WhatsApp messages, while posing as nongovernmental organization workers, journalists, or other fake personas.",Espionage
"China-aligned hackers breached Czech-based Avast’s network, aiming to compromise the CCleaner tool, which had previously been compromised in 2017.",Espionage
A threat actor conducted a phishing attack on investigative journalists at Bellingcat who have been probing Russian intelligence activities.,Espionage
The Russian-speaking threat actor Golden Falcon used a combination of purchased and developed tools to compromise numerous individuals in Kazakhstan and a few in China.,Espionage
"Hackers set up fake login pages or sent spoof e-mails to people who work with the think tanks in an attempt to trick them into handing over information, such as passwords.",Espionage
"A threat actor targeted a number of foreign ministries, a Chinese technology company, Stanford University, think tanks in the United States and the United Kingdom, and other entities that have focused on North Korea's nuclear efforts or the related international sanctions. The threat actor created a network of malicious websites imitating the login portals of targets. This incident is believed to be an extension of the 2018 BabyShark campaign.",Other
"ToTok, a popular Emirati messaging app, was revealed to be a mass surveillance tool used by the Emirati government.",Espionage
U.S. Cyber Command hacked Iranian rocket and missile launch systems in retaliation for the downing of a U.S. drone and attacks on oil tankers in the Strait of Hormuz. Iranian officials said the attack was not successful.,Sabotage
A threat actor launched a persistent campaign against the Foreign Ministry of the Czech Republic that lasted several months. This campaign follows previous attacks on the Czech Foreign Ministry in 2018 and 2017.,Espionage
Russian group Sandworm carried out large-scale cyberattacks against targets in Georgia.,Sabotage
"Between July 19 and July 25, 2019, a threat actor sent several spear-phishing emails to three U.S. companies in the utility sector. The emails were sent from a domain impersonating that of the National Council of Examiners for Engineering and Surveying, an authority in the industry. The emails contained Microsoft Word attachments that used macros to install and run a new remote-access Trojan (RAT) called LookBack.",Espionage
"Threat actor that has targeted Kazakh government officials and private individuals, along with some Chinese individuals.",Other
"Hackers used malware from the dark web to target a Norwegian internet service provider. The goal of the attack was to gain access to customers’ intellectual property, strategic plans, and emails.",Espionage
"A threat actor targeted U.S.-based entities by emailing them malware-laced Microsoft Word documents written by industry experts. The trojanized documents discussed nuclear deterrence, North Korea's nuclear submarine program, and economic sanctions on the North Korean regime. This incident is believed to be an extension of the August Autumn Aperture campaign.",Other
"Iran-aligned threat actor APT 33 targeted industrial control system manufacturers, suppliers, and maintainers.",Espionage
"This threat actor deployed Regin, a rare type of malware, in an attempt to spy on user accounts for Yandex, a Russian search engine and email provider.",Espionage
"Multiple threat actors compromised telecoms networks across Central and Southeast Asia. The attacks were part of a wider cyber-espionage campaign targeting diplomats and state officials, and they signal China's ability and intent to track the movements of Uighurs along a number of transit routes that they use to escape state persecution.",Espionage
Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.,Espionage
"The threat actor exploited office devices’ weak, outdated security to access the networks of several Microsoft customers and infiltrate accounts with more privileges.",Other
"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",Espionage
"In November 2018, the U.S. Cyber Command launched an offensive campaign to combat a Russian troll operation known for using disinformation tactics.",Denial of service
"Using a new wiper malware called ZeroCleare, Iranian-linked threat actor APT 34 (aka Oilrig) targeted oil companies in the Middle East.",Data destruction
This threat actor increased malicious activity targeting U.S. companies following a U.S. attack on Iranian computer systems.,Data destruction
The China-linked threat actor group Rancor targeted unnamed Cambodian government entities.,Espionage
A Chinese-linked threat actor group active in Southeast Asia,Other
"This threat actor has, since 2014, conducted operations backed by the Chinese government, including targeting the health-care and high-tech sectors and conducting espionage against political dissidents. It has simultaneously conducted its own for-profit illicit activity in the video games industry, amassing millions of dollars in digital currency to be sold to gamers on the black market. The threat actor operates outside of state control but is linked to other Chinese APT malware actors and tools on a part-time or contractual basis, or is a full-time, state-sponsored APT actor that simultaneously conducts nonstate campaigns for supplemental income. This threat actor is a notable example of the blurring lines between state-sponsored and commercial cyber criminals.",Espionage
"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",Espionage
"Chinese hackers targeted twenty-seven universities in the United States, Canada, and Southeast Asia as part of a scheme to steal research about maritime technology under development for military use.",Espionage
"A threat actor targeted the email accounts of an unnamed U.S. presidential campaign, current and former U.S. officials and journalists, and others. During a thirty-day period in August and September, Microsoft observed more than 2,700 attempts to identify the emails of specific customers and 241 hacks.  Four accounts were compromised, though not those connected to the presidential campaign or the officials. A threat actor linked to the Iranian government unsuccessfully attempted to break into President Donald J. Trump's reelection campaign, according to sources familiar with the incident. ",Espionage
Chinese government hackers attacked the National Association of Manufacturers to steal information that might be useful in U.S.-China trade negotiations.,Espionage
"The Iran-aligned espionage group APT 33 used botnets to launch a campaign against a small number of victims in the public and private sectors in the United States, Asia, and the Middle East.",Espionage
Chinese government threat actor PKplug targeted organizations in East and Southeast Asia.,Espionage
"A threat actor broke into the systems of Bahrain's National Security Agency, Ministry of Interior, and office of the first deputy prime minister. On July 25, 2019, Bahraini authorities detected intrusions into its electric and water authority that shut down several systems. The attacks were similar to two hacks in 2012, in which the Shamoon virus was used to knock Qatar's natural gas firm RasGas offline and wipe data from the hard drives at Saudi Aramco, Saudi Arabia's national oil company.",Sabotage
"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019. ",Espionage
"This threat actor has been active since mid-2017, targeting mainly health-care, media, telecommunications, and engineering organizations in Singapore, in addition to multinational companies with a presence in the country. The group has also targeted defense, telecommunications, and energy companies in Russia, the United Kingdom, and Southeast Asia. The group relies on a combination of custom malware, open-source hacking tools, and legitimate applications to achieve its goals.",Other
North Korean hackers attacked the Indian Space Research Organization as part of a broader assault on India’s government agencies.,Espionage
China-linked espionage group Bronze Butler targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.,Espionage
"Iranian threat actor Phosphorus attacked 241 email accounts associated with a U.S. presidential campaign government officials, and journalists, and prominent expatriate Iranians.",Espionage
"Hong Kong authorities used a network of Chinese computers to track protesters' organizing activity on Telegram, a secure messaging app.",Espionage
"Gamaredon, a Russian-speaking APT, targeted Ukrainian government entities from September to November 2019.",Espionage
Senior Indonesian election officials accused Chinese and Russian hackers of manipulating and modifying Indonesia's voter data base to disrupt the presidential elections.,Espionage
"A threat actor targeted virtual private networks (VPNs) used by suppliers of European aerospace company Airbus with a series of attacks. The attacks resulted in unauthorized access to data, including the theft of documents related to Airbus's military transport plane A400M, designed with one of the most powerful propeller engines in the world.",Espionage
"The Egyptian government installed mobile apps on targets’ phones to extract files, track their locations, and identify contacts.",Espionage
A threat actor targeted the computer network of the Parliament of Australia. The hackers breached the Parliament's network and the networks of the three largest political parties.,Espionage
The North Korean threat actor Lazarus Group targeted South Korean macOS users with a new malware variant.,Espionage
ESET researchers discovered a new malware called Attor that has been used to target only a few dozen victims since 2013. The victims include diplomatic and government institutions and the malware is designed to steal encryption information from certain applications.,Espionage
"Multiple threat actors compromised and exploited eleven websites that published news and cultural information related to the Uighur populations in China, particularly the East Turkestan region. The threat actors imitated the domains of Google, the Turkistan Times, and the Uyghur Academy, and used Google applications to gain access to Gmail accounts. Among other sensitive details collected were the hacked devices’ unique identification numbers, phone numbers, locations, central processing unit (CPU) data, and usernames.",Espionage
"Ocean Lotus (aka APT 32), a threat actor aligned with the Vietnamese government, attacked BMW and Hyundai in an attempt to steal automotive trade secrets.",Espionage
The threat actor repurposed hacking tools used against them by the U.S. National Security Agency (NSA) to attack private companies in Asia and Europe. These attacks went undetected for two years.,Espionage
A threat actor conducted a multiyear espionage effort aimed at the theft of intellectual property from European and North American aerospace companies to further the development of China's C919 aircraft.,Espionage
"Unit 02616 of Uzbekistan’s National Security Service used FinFisher, a German spyware, to attack dissidents.",Espionage
"This threat actor, believed to be linked to Saudi Arabia, targets Saudi dissidents and foreign journalists with NSO Group's Pegasus malware. ",Other
"U.S. Cyber Command conducted operations to disable online activities of the Internet Research Agency (IRA), a Russia-based company closely affiliated to the Russian government that conducts information operations. The operation was meant to prevent the IRA from interfering in the 2018 U.S. midterm elections.",Sabotage
Multiple threat actors targeted secure sockets layer (SSL) virtual private network (VPN) servers provided by cybersecurity companies Fortinet and Pulse Secure. It is uncertain whether the attacks were successful.,Other
"Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.",Espionage
This threat actor compromised Amnesty International Hong Kong's system to steal the personal information of supporters.,Espionage
The United States carried out a cyberattack against Iran designed to limit Tehran’s ability to spread propaganda in retaliation for the September 14 attacks on Saudi oil facilities.,Data destruction
"DarkUniverse was a threat group affiliated with Russia that was active for at least eight years, from 2009 until 2017.",Other
Amnesty International released a report showing how Morocco’s government used the NSO Group’s Pegasus malware to target two human rights activists in Morocco.,Espionage
An unknown actor with a connection to Iran hijacked DNS records to target the traffic of governments and telecommunications organizations around the world.,Espionage
Gallium is a possibly China-linked threat actor that has carried out attacks against telecom companies across the globe.,Other
"A threat actor compromised the British Post Office and local government networks, stealing personal data—including email addresses and mobile phone numbers—of thousands of employees.",Espionage
"A threat actor targeted embassies and foreign ministries in Eastern Europe and Central Asia with a phishing campaign that deployed a form of Zebrocy malware on computers, creating backdoors. ",Other
"Believed to have gone dark, Russian threat actor the Dukes targeted the ministries of foreign affairs of three European countries and a European Union (EU) country embassy in the United States with malware.",Espionage
"German security officials detected a cyberattack, believed to be by the Russian group Snake, on the email accounts of German celebrities, lawmakers, military officials, and staff of several German embassies.",Doxing
"A threat actor compromised air-gapped, or isolated, networks owned by U.S. electric utility companies by penetrating the networks of trusted vendors.",Sabotage
"A threat actor successfully compromised the networks of the Dukes, gaining visibility into the Dukes’ targeting methods and operations. This compromise allegedly helped the U.S. intelligence community to attribute the 2016 compromise of the Democratic National Committee and other entities to Russian state-sponsored actors.",Espionage
"A threat actor targets German media companies and organizations involved in chemical weapons research, for the purpose of espionage.",Espionage
"This threat actor targets government and private-sector entities in the defense, maritime, and science and technology sectors in China for espionage purposes. It is particularly interested in information related to cross–Taiwan Strait and U.S.-Sino relations.",Espionage
"This threat actor targets Uighurs—a minority ethnic group located primarily in northwestern China—and devices from Chinese mobile phone manufacturer Xiaomi, for espionage purposes.",Espionage
"A threat actor compromised the Federation Internationale de Football Association (FIFA). Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",Espionage
"This threat actor, which consists of Stealth Mango (Android) and Tangelo (iOS), targets government officials, diplomats, military personnel, and activists in primarily Afghanistan, India, Iraq, Pakistan, and the United Arab Emirates for espionage.",Espionage
"The office of U.S. Senator Claire McCaskill (D-MO) announced that it was targeted by Russian state-sponsored cyber actors, following a report of the incident in the Daily Beast.",Espionage
Marriott reported a massive data breach that affected up to five hundred million customers in its Starwood hotels reservation system. U.S. private investigators believe China is behind the hack.,Espionage
"A threat actor, using a tool called Olympic Destroyer, successfully disrupted computer networks associated with the 2018 Winter Olympics in Pyeongchang, South Korea, before the opening ceremony. Among other things, the incident crashed the Wi-Fi network in the Olympic stadium and the press center.",Sabotage
"This threat actor targets organizations in the satellite communications, telecommunications, geospatial-imaging, and defense sectors in the United States and Southeast Asia for espionage purposes.",Espionage
This threat actor targets universities around the world for espionage purposes.,Espionage
"The United Kingdom’s Government Communications Headquarters director announced that, along with the UK Ministry of Defense, it had conducted a “major offensive cyber campaign” directed at the Islamic State, with the purpose of disrupting the group’s ability to recruit and coordinate. The UK campaign mirrors a previous one announced by the U.S. government in 2016.",Sabotage
"A threat actor targeted Westinghouse Electric Company, a nuclear power developer, for espionage purposes. One of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), was indicted by the U.S. Justice Department.",Espionage
"A threat actor targets North Korean defectors and journalists with an interest in North Korea by compromising their Android devices, for espionage.",Espionage
This threat actor targets entities that operate industrial control systems in the electric utility sector.,Espionage
Ukraine’s security agency thwarted an attack attempting to target the country’s court system.,Espionage
"This threat actor uses social engineering techniques to target companies in the chemicals, electronics, manufacturing, aerospace, automotive, and health-care sectors, as well as the South Korean government.",Other
"A threat actor targeted critical infrastructure entities in the energy, water, and telecommunications sectors, prompting the German government to issue a public alert. In remarks following the alert's release, the head of Germany’s domestic intelligence agency accused Russia of controlling the targeting campaign.",Espionage
"A threat actor targeted the iPhone of Omar Abdulaziz, a critic of the Kingdom of Saudi Arabia living in Canada, for espionage purposes. The threat actor uses the Pegasus tool, created by the NSO Group.",Espionage
A threat actor has compromised a government data center in Mongolia. Kaspersky Lab assesses that the threat actor used its access to compromise websites that they will use in subsequent watering-hole attacks.,Espionage
"The U.S. Department of Homeland Security and the UK National Cyber Security Centre issued a joint alert warning of a Russian state-sponsored campaign to compromise networking equipment, such as routers and switches, to support their cyber operations. A few weeks later, the FBI took control of a botnet with over five hundred thousand compromised devices and issued a public request that individuals with certain router models restart them.",Sabotage
This threat actor targets government entities in the United States and Europe. It also conducts criminal operations.,Espionage
"An attack targeted computer systems in both houses of the Parliament of Australia. The systems of the ruling Liberal-National Coalition Party and Labor, the main opposition party, were compromised, but there is no evidence of electoral interference.",Other
"A threat actor compromised the Informationsverbund Berlin-Bonn, a computer network air gapped from the global internet, used by the German chancellery, parliament, Foreign Office, and other government departments based in Bonn, Germany.",Espionage
"This threat actor targets Tibetan organizations based in India, for the purpose of espionage.",Espionage
A threat actor targets the campaigns of candidates running for Congress in the 2018 U.S. midterm elections.,Espionage
"Two separate threat actors targeted South Korean government organizations prior to the meeting between U.S. President Donald J. Trump and North Korean leader Kim Jong-un, for the purpose of espionage.",Espionage
"The U.S. Department of Justice indicted nine officials from the Mabna Insititute, an Iranian company alleged to have conducted state-sponsored cyber operations on behalf of the Iranian Revolutionary Guards. They are alleged to have compromised the networks of over 144 U.S. universities, 176 universities in over twenty-one other countries, as well as private sector, government, and multilateral entities.",Espionage
